Average of Poverty,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cabo Verde,CÃ´te d'Ivoire,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Costa Rica,Croatia,Cyprus,Czech Republic,Dem. Rep. Congo,Denmark,Djibouti,Dominican Republic,East Asia & Pacific,Ecuador,Egypt,El Salvador,Estonia,Eswatini,Ethiopia,Europe & Central Asia,Fiji,Finland,Fragile and conflict affected situations,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hungary,Iceland,IDA total,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kosovo,Kyrgyz Republic,Lao PDR,Latin America & Caribbean,Latvia,Lebanon,Lesotho,Liberia,Lithuania,Low & middle income,Low income,Lower middle income,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Middle East & North Africa,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,SÃ£o TomÃ© and Principe,Samoa,Senegal,Serbia,Seychelles,Sierra Leone,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Asia,South Sudan,Spain,Sri Lanka,St. Lucia,Sub-Saharan Africa,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,TÃ¼rkiye,Tajikistan,Tanzania,Thailand,The Gambia,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,West Bank and Gaza,World,Yemen,Zambia,Zimbabwe,Grand Total
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,,,,,,1.7
1971,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,,,,,,,,,,,,0.7
1975,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.8,,,,,,,,,,,,4.16
1980,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1
1981,,,,,,1.1,,,,,,,,,,,,36.8,,,,,,,0.7,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,0.5,,,,,,40,,,,,,,,,,,,,,,,,,16.8,,,,,,,28.88
1982,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.36666667
1983,,,,,,,,,60.5,,,,,,,,,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,65.8,,,,,,,,,,,,,,,,,30.6,,,,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.05
1984,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,84.7,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,73.4,,,,,,,,,,,,,,,,30.4,,,,,,62.4,,59.3,,,,15,,,,,,,,,,,,,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,49.7,,,,45.04615385
1985,,,,,,1.1,,,57.3,,0.4,,,,,,52.4,38.2,,,,,23.4,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,29.1,,,,,,60.2,,58.9,0.1,,,,,,,,,,,,26.3,,,,,,,,,,,,,59.9,,,,,,,,,,,,,,,,,,,,,,,,,64.4,,1.9,43.3,,,,,,,,,,,,,,,,,30.5,,,,,,,,60.8,,,,,,,48.1,,,,36.91
1986,,,,2.1,,,,,,,,,,,,,,23.8,,,,,24.3,,,,,,,,,,28.2,,,,,,,16,70.8,,,,,,,,,,,,,,,,,58.5,,,,,1.8,,,,,,,22.9,,,2.4,0.6,,,2.4,,,,,,,,24,,,61.4,,,56,,58.8,,,,,,,,,,,,,26.8,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.8,52.1,,,,,,,44.9,,,,28.00434783
1987,,,,2.8,,,0,,,,,,,,,,,31.7,,,,,29.3,,0.4,,,30.6,,,,,,,,,,0.8,,,69.3,,,,,,,,,0.1,,,,,,71,,,,,,,1.7,,,,,63.2,73.2,,,2.2,,1.7,,,,,,,,,,,26.8,,,,,,55.7,,58.7,,,,14.9,,,,,55.8,,,,27,,,,,,,,,,0.4,,,,,,69.9,,,,,,,,,,,,,,,,,,,,,,63.7,,,,,,,,0.3,,,15.5,,,,,,,,,,,,,,,,,51.5,,,,18.2,,,44.7,,,,30.38275862
1988,,25,,,,,,,60.8,,0.6,,,,,,,33.8,,,,,36.1,,,,,,,,,,,,,,,,,,67.2,,,,,,,,,,,,,,,70.5,,,,,,,1.6,,,,,,,,,,,,17.6,,,,,,,,,,27.7,,,,,,54.8,,58.3,,,,,,,,,,,,,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2,,,,,,,,,,,,,,37.7,,,,,6.6,,,,,,,,,50.1,,,,,,,44.1,,,,37.93333333
1989,,,,,,1,,,,,,,,,,,,31.7,,,,,,,,,,,,,,,21.6,,,,,,,32.1,69.9,,,30.7,,,,,,,,1.3,,,,,,47.4,,,,,1.4,50.3,,,63.3,,,,,,,0.2,,,,,,,,,,,27,,,,,,55.8,,58,,,,14.4,,,,,,,23,,27.3,,,,,,,,,,,,,,,,,30.2,,,,,,,,,,,,,,,72.9,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,66.4,,,,,52.5,,,,13.2,,,45,,,,35.984
1990,,,,,,,,,,,,,,,,,,35.7,,,,,,,,,,25.7,72.8,,,,20.6,,,,,,,,68.8,,32.4,,,,,11.1,,,,,,,,,,,,,,,1.4,52.3,,,63.6,,67.7,23.4,,,,,17.9,,,,,,,,,,28.3,,,,,,55.5,,57.4,,,,,,,,,,,,,25,,,,23.7,,,,,,1.2,,,,,,69.3,,,6.7,,,,,,,,,,,,,,,,,,,62.8,,1.1,41.8,,60.9,,,,,,,,,34.8,,,,,,25.4,,,,,,,,52.2,,,,,,,44.8,,,,37.38965517
1991,,,,4.5,,,,,61.3,,,,,,,,,,,,,,,,0.3,,,,,,,,23.9,,,,,,,,68,,,35.3,,,,12.4,,0.1,,,,,0.1,72.7,,,100,,,,1.4,45.5,,,64,,,,,,,0.5,,,,,,,,,,,27.5,,,,,,55.5,,57.2,0,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,0.4,,27.7,,,,,,,,,,,,72.1,,,,,,,,,62.6,,,,,62,,,,,,,,71.2,,,,,,,,,,,,,0.6,0.8,52.1,,,,,,,44.9,,64.2,,36
1992,,,,5,,,,,,,0.9,,,,,,,35.6,,,74,,46,,,81,,21.1,,24.2,,,21.3,,,0.2,,0.7,,22.1,66.7,,,,,,,15.1,,,,,,,0.2,,,,,,47.1,,1.5,42.1,,,63.4,,,,,,0.9,,,,9.8,,41.1,,,,,48.6,27.7,,,,,,55.1,,57,,,,13.6,,,,,,,19.9,,25.9,,,,,,,,,,,,78.5,61.5,,,,,,,,,,,,,,,,,,,,,,,,,61.8,,,,,62.7,,,0.4,0.7,,,,,30,,,,,10.6,,,,69.7,19.2,,,0.8,51.4,,,,13.1,58.9,,44.7,,,,32.54090909
